customer_id,first_name,last_name,gender,age,email,phone,city,state,signup_date
1,Onveer,Chadha,Male,19,onveer.chadha1@gmail.com,9896233790,Lucknow,Uttar Pradesh,2025-06-16
2,Janaki,Rege,Male,32,janaki.rege2@gmail.com,9249827706,Bengaluru,Karnataka,2024-05-15
3,Shravya,Tak,Male,52,shravya.tak3@gmail.com,9193349856,Kolkata,West Bengal,2026-02-13
4,Yashodhara,Dara,Female,20,yashodhara.dara4@gmail.com,9131994523,Jaipur,Rajasthan,2025-04-25
5,Ganga,Mahajan,Male,32,ganga.mahajan5@gmail.com,9642621108,Pune,Maharashtra,2024-12-01
6,Ethan,Keer,Male,53,ethan.keer6@gmail.com,9313500298,Jaipur,Rajasthan,2024-10-06
7,Bhavya,Yadav,Female,32,bhavya.yadav7@gmail.com,9582334538,Kolkata,West Bengal,2024-12-01
8,Noah,Sama,Female,18,noah.sama8@gmail.com,9914763202,Jaipur,Rajasthan,2024-03-28
9,Luke,Ghose,Male,45,luke.ghose9@gmail.com,9465341213,Patna,Bihar,2025-03-25
10,Pahal,Divan,Male,31,pahal.divan10@gmail.com,9919795579,Bengaluru,Karnataka,2026-03-17
11,Wakeeta,Bhattacharyya,Male,23,wakeeta.bhattacharyya11@gmail.com,9507943839,Hyderabad,Telangana,2025-07-10
12,Charan,Chad,Female,40,charan.chad12@gmail.com,9748245888,Pune,Maharashtra,2023-08-13
13,Chakrika,Char,Male,47,chakrika.char13@gmail.com,9675770529,Bengaluru,Karnataka,2024-03-06
14,Idika,Dugar,Female,23,idika.dugar14@gmail.com,9692749116,Pune,Maharashtra,2024-12-28
15,Ekalinga,Patil,Female,54,ekalinga.patil15@gmail.com,9306468299,Bengaluru,Karnataka,2024-01-04
16,Kamala,Krishnan,Male,20,kamala.krishnan16@gmail.com,9810026086,Kolkata,West Bengal,2025-08-04
17,Darsh,Sibal,Female,23,darsh.sibal17@gmail.com,9349957310,Delhi,Delhi,2024-08-19
18,Noah,Nath,Male,42,noah.nath18@gmail.com,9398471886,Bhopal,Madhya Pradesh,2026-06-03
19,Luke,Oommen,Female,28,luke.oommen19@gmail.com,9497478786,Ahmedabad,Gujarat,2026-05-30
20,Riya,Taneja,Male,60,riya.taneja20@gmail.com,9386665249,Hyderabad,Telangana,2026-04-05
21,Mahika,Hayer,Male,56,mahika.hayer21@gmail.com,9781802744,Kolkata,West Bengal,2023-07-24
22,Harsh,Dhillon,Male,28,harsh.dhillon22@gmail.com,9596348124,Nagpur,Maharashtra,2025-09-14
23,Ladli,Bahri,Female,58,ladli.bahri23@gmail.com,9838908273,Chennai,Tamil Nadu,2023-09-09
24,Chavvi,Chacko,Male,38,chavvi.chacko24@gmail.com,9924970419,Surat,Gujarat,2023-08-08
25,Eta,Oak,Male,32,eta.oak25@gmail.com,9982403818,Patna,Bihar,2026-02-12
26,Reyansh,Ganesan,Female,43,reyansh.ganesan26@gmail.com,9387484583,Mumbai,Maharashtra,2024-01-18
27,Abhiram,Joshi,Male,54,abhiram.joshi27@gmail.com,9870854579,Pune,Maharashtra,2025-05-08
28,Hitesh,Anand,Male,59,hitesh.anand28@gmail.com,9636045484,Hyderabad,Telangana,2025-12-09
29,Isaiah,Rajan,Female,27,isaiah.rajan29@gmail.com,9384412919,Chennai,Tamil Nadu,2025-03-17
30,Upkaar,Nagi,Male,53,upkaar.nagi30@gmail.com,9678722458,Nagpur,Maharashtra,2026-01-22
31,Praneel,Morar,Female,55,praneel.morar31@gmail.com,9528853029,Bengaluru,Karnataka,2024-11-15
32,Faraj,Mann,Male,26,faraj.mann32@gmail.com,9647099690,Hyderabad,Telangana,2024-04-28
33,Leela,Dyal,Male,21,leela.dyal33@gmail.com,9217734861,Ahmedabad,Gujarat,2024-07-18
34,Gabriel,Choudhary,Male,45,gabriel.choudhary34@gmail.com,9740389325,Nagpur,Maharashtra,2023-11-17
35,Viraj,Kumer,Female,42,viraj.kumer35@gmail.com,9739830322,Pune,Maharashtra,2025-10-28
36,Nandini,Tailor,Female,53,nandini.tailor36@gmail.com,9112327652,Ahmedabad,Gujarat,2024-06-16
37,Pahal,Tara,Male,52,pahal.tara37@gmail.com,9906248900,Lucknow,Uttar Pradesh,2024-01-27
38,Veer,Dani,Female,25,veer.dani38@gmail.com,9415143362,Bengaluru,Karnataka,2024-05-19
39,Vamakshi,Badal,Male,47,vamakshi.badal39@gmail.com,9103484630,Chennai,Tamil Nadu,2026-02-07
40,Gopal,Lad,Female,50,gopal.lad40@gmail.com,9918150683,Kolkata,West Bengal,2024-08-23
41,Shravya,Chopra,Male,58,shravya.chopra41@gmail.com,9420452650,Nagpur,Maharashtra,2025-08-17
42,Chavvi,Talwar,Male,27,chavvi.talwar42@gmail.com,9501486939,Bhopal,Madhya Pradesh,2024-01-18
43,Reyansh,Mander,Male,52,reyansh.mander43@gmail.com,9936043811,Patna,Bihar,2024-08-27
44,Saumya,Andra,Male,56,saumya.andra44@gmail.com,9448059918,Indore,Madhya Pradesh,2024-05-05
45,Jonathan,Desai,Male,25,jonathan.desai45@gmail.com,9489747629,Ahmedabad,Gujarat,2025-02-20
46,Pranav,Oommen,Female,33,pranav.oommen46@gmail.com,9162196678,Indore,Madhya Pradesh,2025-06-27
47,Nandini,Sachdeva,Male,23,nandini.sachdeva47@gmail.com,9885879795,Delhi,Delhi,2025-08-06
48,Divya,Sibal,Male,52,divya.sibal48@gmail.com,9922308461,Ahmedabad,Gujarat,2025-11-29
49,Chaitanya,Saxena,Male,60,chaitanya.saxena49@gmail.com,9610330567,Nagpur,Maharashtra,2024-12-07
50,Devika,Mallick,Male,34,devika.mallick50@gmail.com,9666585408,Surat,Gujarat,2023-08-07
